,pxl_row_in_fullres,pxl_col_in_fullres,spot_index,cell_index,cell_nums
542,4685.8751395784875,3109.1524278371726,180,180_0,9
543,4708.36338028169,3150.7388324431145,180,180_1,9
544,4722.909519411823,3173.0,180,180_2,9
545,4626.104812710704,3121.805787288795,180,180_3,9
546,4738.0,3144.502546442244,180,180_4,9
547,4599.0,3140.8087563616796,180,180_5,9
548,4680.426650987519,3145.610606757495,180,180_6,9
549,4702.4882873609795,3034.0,180,180_7,9
550,4665.341807275457,3103.9148562086584,180,180_8,9
551,4708.376186632896,3238.473467946967,181,181_0,14
552,4615.700385803522,3360.0,181,181_1,14
553,4618.549554080784,3319.117429265304,181,181_2,14
554,4693.895173082764,3274.0557471996003,181,181_3,14
555,4599.0,3323.0482443761603,181,181_4,14
556,4622.95570971001,3265.0366140507867,181,181_5,14
557,4695.324685631049,3322.4431470101104,181,181_6,14
558,4644.250498817382,3266.9833173213833,181,181_7,14
559,4707.504689357542,3225.106360179018,181,181_8,14
560,4606.465998503922,3271.3734130094936,181,181_9,14
561,4685.531898251722,3221.0,181,181_10,14
562,4678.4652811584065,3256.0717268793396,181,181_11,14
563,4693.003741885256,3296.695834035852,181,181_12,14
564,4738.0,3292.0746888548038,181,181_13,14
565,4736.0,4106.0,182,182_0,2
566,4597.0,3967.0,182,182_1,2
567,4735.0,4480.0,184,184_0,5
568,4607.588379751048,4341.0,184,184_1,5
569,4643.905802480189,4360.93327492674,184,184_2,5
570,4612.922425946104,4360.296749800336,184,184_3,5
571,4596.0,4398.037869646986,184,184_4,5
573,4593.0,5413.0,186,186_0,2
574,4732.0,5274.0,186,186_1,2
576,4710.948250708414,2008.0,188,188_0,9
577,4695.280247509163,2147.0,188,188_1,9
578,4655.0,2036.9974228543135,188,188_2,9
579,4712.472910994038,2045.6938350662788,188,188_3,9
580,4726.482841259153,2145.7630422603065,188,188_4,9
581,4732.605259427528,2096.6655965828727,188,188_5,9
582,4755.335435153566,2144.5003620004873,188,188_6,9
583,4748.330337937858,2026.2985917793271,188,188_7,9
584,4794.0,2089.7582676166726,188,188_8,9
585,4655.0,2240.2250296278553,189,189_0,7
586,4718.697898705535,2320.5638452582775,189,189_1,7
587,4759.829192543084,2296.872024000734,189,189_2,7
588,4667.361855770436,2194.0,189,189_3,7
589,4794.0,2333.0,189,189_4,7
590,4664.924529262086,2275.9046851819385,189,189_5,7
591,4768.001539516504,2330.879390459364,189,189_6,7
592,4687.578367622416,2436.2333550607714,190,190_0,3
593,4655.0,2520.0,190,190_1,3
594,4794.0,2381.0,190,190_2,3
595,4660.535795816845,2678.4101241267695,191,191_0,8
596,4793.0,2679.360816566919,191,191_1,8
597,4773.513793603962,2698.899875341591,191,191_2,8
598,4756.289758245326,2613.8543245787487,191,191_3,8
599,4691.568619515427,2567.0,191,191_4,8
600,4718.440357459851,2567.5095712229277,191,191_5,8
601,4654.0,2706.0,191,191_6,8
602,4751.696225256401,2667.2783710860363,191,191_7,8
603,4729.5640099223465,2760.1655207373633,192,192_0,10
604,4745.906689980001,2800.4354228306684,192,192_1,10
605,4731.737278018118,2893.0,192,192_2,10
606,4777.240070764549,2804.0306044095273,192,192_3,10
607,4763.475556256971,2754.0,192,192_4,10
608,4673.889533826851,2832.836195083951,192,192_5,10
609,4654.0,2796.281274309614,192,192_6,10
610,4793.0,2799.8189839366883,192,192_7,10
611,4671.522582195747,2798.815461804409,192,192_8,10
